ID (primary key),Job Title,Company Name,Job URL
125114,Junior Software Engineer,talend,https://www.linkedin.com/jobs/view/2357043904/?refId=ZKEVDnVCmI5kUntfCsC7OQ%3D%3D&eBP=NotAvailableFromMidTier
125115,Junior Software Engineer,Talend,https://jobs.lever.co/talend/d6f028a9-cafd-42fe-9f90-f89f7cb695d9
125116,Junior Software Engineer,Talend,https://jobs.lever.co/talend/d6f028a9-cafd-42fe-9f90-f89f7cb695d9/apply
125117,,Unknown,https://hopjump.com/jobs.html?2398218?gh_jid=2398218#positions
110964,,Unknown,https://mail.google.com/mail/u/1/#inbox
129004,Growth & Engagement Marketing Manager,Pixite Inc,https://www.linkedin.com/jobs/search/?currentJobId=2357743586&f_TPR=r604800&geoId=103644278&keywords=growth%20marketing%20manager&location=United%20States
129045,Junior Software Engineer,HouseCanary,https://jobs.lever.co/housecanary/a8ceb026-4239-4cb3-aba0-2402708658c0/apply
118082,,Unknown,https://www.revolutionparts.com/
118079,APM,Oscar Health,
125120,Influencer Data Analyst,Princess Polly,https://jobs.lever.co/princesspolly/efb162e1-902f-4314-9b99-38669cc9b62a/apply
129049,"Backend Software Engineer, New Grad (Mountain View)",Confluent,https://jobs.lever.co/confluent/e825f59b-85db-4bd4-b501-40676b3c170b/apply
125122,Product Manager,PresenceLearning,https://www.presencelearning.com/about/careers_jobs/?gh_jid=4911087002&gh_src=93ab36e72us
125123,"Data Scientist, SME",ManTech,https://www.linkedin.com/jobs/search/?currentJobId=2155733658&pivotType=jymbii
125125,,SoFi Home,https://jobs.jobvite.com/sofi/job/oMbgefwb/apply
111247,,Unknown,https://www.lob.com/careers/apply?gh_jid=2444491
120689,Digital engineering - software engineering - associate-61046,Fannie Mae,https://fanniemae.taleo.net/careersection/10000/jobdetail.ftl?job=61046&lang=en&utm_source=linkedin&utm_medium=job_posting&utm_campaign=core_program&src=JB-13800
120725,Product Manager (FDG),HubSpot,https://boards.greenhouse.io/embed/job_app?token=2526663&gh_src=240b46771
119726,Product Manager,Hubspot,https://www.hubspot.com/careers/jobs/2529007?gh_jid=2529007
119732,Product Manager,Lyft,https://boards.greenhouse.io/lyft/jobs/4944457002?gh_jid=4944457002
125126,,Unknown,https://www.nerdwallet.com/careers/job/2513624#applyJob
120544,"Product Manager, Measurement Attribution",Pinterest,https://www.pinterestcareers.com/jobs/product-manager-measurement-attribution-seattle-washington-united-states
125129,"Software Engineer (New Grad - Arlington, TX)",l3harris,https://careers.l3harris.com/job/arlington/software-engineer-new-grad-arlington-tx/4832/18227829?src=SNS-10240
125130,Software Engineer - Cloud Metrics,Datadog,https://www.datadoghq.com/careers/detail/?gh_jid=1825899&gh_src=8363eca61
125132,Associate Software Engineer - Corporate Technology | FC Investigations,JP Morgan Chase,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/190079816/?utm_medium=jobshare
125134,Software Engineer,Lunchclub,https://jobs.lever.co/elliot/03fd7576-977b-4676-be63-9c80af9e107f/apply
125136,Software Engineer,Dell,https://www.linkedin.com/jobs/search/?currentJobId=2358415619&pivotType=jymbii
125139,Strategy & Analysis Manager,SmartHop,https://boards.greenhouse.io/smarthop/jobs/4303395003?gh_src=d85140413us
125143,Data Product Manager,Invitae,https://boards.greenhouse.io/invitae/jobs/2555380?gh_jid=2555380&gh_src=c30c64551
125144,Data Engineer,Pactera EDGE,https://www.linkedin.com/jobs/view/2343349732/?refId=FupHC6OMWpyI8isj18mpGw%3D%3D&eBP=NotAvailableFromMidTier
125148,"Product Manager, Analytics",Vimeo,
125149,Full Stack Developer,Feast & Fettle,https://www.linkedin.com/jobs/search/?currentJobId=2337418750&pivotType=jymbii
125145,Data & Analytics Consultant,Slalom Consulting,https://slalom.secure.force.com/careers/ts2__JobDetails?jobId=a0h1R00000BXb78QAD&tSource=
125147,"Director, Data Science and Engineering",AbbVie Biotech Ventures,
125150,"Senior Manager, Data and Integration",Hashicorp,
125151,"Product Finance & Strategy, Risk and Merchant Intelligence application",Stripe,
125152,"Engineering Manager, Risk Engineering application",Stripe,
125153,Senior Product Manager - Trust & Safety - User Behavior,Roblox,
125154,Product Manager,Wework,https://careers.wework.com/job/11747007/product-manager-new-york-ny/
125155,Customer Champion,Coda,
